"","Site_ID","Day","Month","Year","Plant_genus","Plant_species","Plant.ID","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","Notes"
"1","Niebla",12,5,2015,"Cistus","monspeliensis","A1",3,0,0,0,"Frutos dudosos, los guardo"
"2","Niebla",11,6,2015,"Cistus","crispus","A1",5,0,3,0,NA
"3","Niebla",11,6,2015,"Cistus","crispus","A2",2,4,0,0,NA
"4","Niebla",11,6,2015,"Cistus","crispus","A3",4,5,2,0,NA
"5","Niebla",11,6,2015,"Cistus","crispus","B1",4,1,4,0,NA
"6","Niebla",11,6,2015,"Cistus","crispus","B2",2,2,0,0,NA
"7","Niebla",11,6,2015,"Asphodelus","fistulosus","A1",25,3,11,0,NA
"8","Niebla",11,6,2015,"Asphodelus","fistulosus","A2",14,6,0,0,NA
"9","Niebla",11,6,2015,"Asphodelus","fistulosus","A3",11,11,1,0,NA
"10","Niebla",11,6,2015,"Asphodelus","fistulosus","B1",21,0,16,0,NA
"11","Niebla",11,6,2015,"Asphodelus","fistulosus","B2",23,1,19,0,NA
"12","Niebla",11,6,2015,"Asphodelus","fistulosus","B3",23,3,22,0,NA
"13","Niebla",11,6,2015,"Asphodelus","fistulosus","C1",14,9,9,0,NA
"14","Niebla",11,6,2015,"Asphodelus","fistulosus","C2",12,5,9,0,NA
"15","Niebla",11,6,2015,"Asphodelus","fistulosus","C3",7,1,5,0,NA
"16","Niebla",28,5,2015,"Cistus","ladanifer","A1",0,1,0,0,NA
"17","Niebla",28,5,2015,"Cistus","ladanifer","A2",0,1,0,0,NA
"18","Niebla",28,5,2015,"Cistus","ladanifer","A3",0,1,0,0,NA
"19","Niebla",28,5,2015,"Cistus","ladanifer","B1",3,2,2,0,NA
"20","Niebla",28,5,2015,"Cistus","ladanifer","B2",5,0,5,0,NA
"21","Niebla",28,5,2015,"Cistus","ladanifer","B3",7,0,7,0,NA
"22","Niebla",28,5,2015,"Cistus","ladanifer","C1",1,0,1,0,NA
"23","Niebla",28,5,2015,"Cistus","ladanifer","C2",1,0,0,0,NA
"24","Niebla",28,5,2015,"Cistus","ladanifer","C3",1,0,1,0,NA
"25","Niebla",28,5,2015,"Cistus","monspeliensis","A1",2,0,1,0,NA
"26","Niebla",28,5,2015,"Cistus","monspeliensis","A2",3,1,0,0,NA
"27","Niebla",28,5,2015,"Phlomis","purpurea","A1",9,0,0,0,NA
"28","Niebla",28,5,2015,"Phlomis","purpurea","A2",10,0,0,0,NA
"29","Niebla",28,5,2015,"Phlomis","purpurea","A3",10,0,0,0,NA
"30","Niebla",28,5,2015,"Phlomis","purpurea","B1",20,0,0,0,NA
"31","Niebla",28,5,2015,"Phlomis","purpurea","B2",20,0,0,0,NA
"32","Niebla",28,5,2015,"Phlomis","purpurea","B3",22,0,0,0,NA
"33","Niebla",28,5,2015,"Lavandula","pedunculata","A1",99,36,0,0,NA
"34","Niebla",28,5,2015,"Lavandula","pedunculata","A2",58,30,0,0,NA
"35","Niebla",28,5,2015,"Lavandula","pedunculata","A3",75,40,0,0,NA
"36","Niebla",28,5,2015,"Lavandula","pedunculata","B1",109,12,0,0,NA
"37","Niebla",28,5,2015,"Lavandula","pedunculata","B2",21,10,0,0,NA
"38","Niebla",28,5,2015,"Lavandula","pedunculata","B3",117,9,0,0,NA
"39","Niebla",28,5,2015,"Lavandula","pedunculata","C1",83,15,0,0,NA
"40","Niebla",28,5,2015,"Lavandula","pedunculata","C2",101,39,0,0,NA
